,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Hakeem Olajuwon,32.0,4,179,56,116,1,1,18,26,11,35,46,22,8,8,11,18,131,0.483,1.0,0.692,44.8,32.8,11.5,5.5,2.0,2.0
1,Clyde Drexler,32.0,4,162,27,60,2,13,30,38,13,25,38,27,4,1,6,14,86,0.45,0.154,0.789,40.5,21.5,9.5,6.8,1.0,0.3
2,Robert Horry,24.0,4,187,23,53,11,29,14,21,9,31,40,15,12,9,5,9,71,0.434,0.379,0.667,46.8,17.8,10.0,3.8,3.0,2.3
3,Mario Elie,31.0,4,161,24,37,8,14,9,10,4,13,17,13,8,0,7,9,65,0.649,0.571,0.9,40.3,16.3,4.3,3.3,2.0,0.0
4,Sam Cassell,25.0,4,93,15,35,7,15,20,24,1,6,7,12,7,0,6,9,57,0.429,0.467,0.833,23.3,14.3,1.8,3.0,1.8,0.0
5,Kenny Smith,29.0,4,105,11,29,8,19,0,0,2,5,7,16,1,0,2,7,30,0.379,0.421,,26.3,7.5,1.8,4.0,0.3,0.0
6,Chucky Brown,26.0,4,38,5,11,0,1,2,2,3,8,11,0,0,2,1,2,12,0.455,0.0,1.0,9.5,3.0,2.8,0.0,0.0,0.5
7,Charles Jones,37.0,4,57,1,2,0,0,2,2,1,6,7,0,0,0,1,15,4,0.5,,1.0,14.3,1.0,1.8,0.0,0.0,0.0
8,Pete Chilcutt,26.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
9,Team Totals,,4,985,162,343,37,92,95,123,44,129,173,105,40,20,39,83,456,0.472,0.402,0.772,246.3,114.0,43.3,26.3,10.0,5.0
