Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Michael Jordan,32.0,6,252,51,123,6,19,56,67,10,22,32,25,10,1,18,17,164,0.415,0.316,0.836,42.0,27.3,5.3,4.2,1.7,0.2
1,Scottie Pippen,30.0,6,248,34,99,9,39,17,24,20,29,49,32,14,8,11,22,94,0.343,0.231,0.708,41.3,15.7,8.2,5.3,2.3,1.3
2,Toni Kukoč,27.0,6,177,30,71,10,32,8,10,12,17,29,21,5,2,11,14,78,0.423,0.313,0.8,29.5,13.0,4.8,3.5,0.8,0.3
3,Luc Longley,27.0,6,170,27,47,0,0,16,22,8,15,23,13,3,11,15,23,70,0.574,,0.727,28.3,11.7,3.8,2.2,0.5,1.8
4,Dennis Rodman,34.0,6,225,17,35,0,0,11,19,41,47,88,15,5,1,11,28,45,0.486,,0.579,37.5,7.5,14.7,2.5,0.8,0.2
5,Ron Harper,32.0,6,116,12,32,4,13,11,12,4,9,13,10,4,2,3,8,39,0.375,0.308,0.917,19.3,6.5,2.2,1.7,0.7,0.3
6,Steve Kerr,30.0,6,113,10,33,4,22,6,7,2,3,5,5,1,0,4,8,30,0.303,0.182,0.857,18.8,5.0,0.8,0.8,0.2,0.0
7,Randy Brown,27.0,6,49,6,12,3,6,2,4,1,1,2,5,4,0,3,10,17,0.5,0.5,0.5,8.2,2.8,0.3,0.8,0.7,0.0
8,Bill Wennington,32.0,6,42,8,12,0,0,1,2,2,1,3,1,0,0,2,7,17,0.667,,0.5,7.0,2.8,0.5,0.2,0.0,0.0
9,Jud Buechler,27.0,6,33,2,9,0,6,0,2,0,0,0,1,4,0,2,4,4,0.222,0.0,0.0,5.5,0.7,0.0,0.2,0.7,0.0
10,John Salley,31.0,5,15,0,1,0,0,0,0,1,0,1,2,0,0,0,8,0,0.0,,,3.0,0.0,0.2,0.4,0.0,0.0
11,Team Totals,,6,1440,197,474,36,137,128,169,101,144,245,130,50,25,80,149,558,0.416,0.263,0.757,240.0,93.0,40.8,21.7,8.3,4.2
