Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Michael Jordan,33.0,6,256,72,158,8,25,42,55,9,33,42,36,7,5,13,14,194,0.456,0.32,0.764,42.7,32.3,7.0,6.0,1.2,0.8
1,Scottie Pippen,31.0,6,256,40,95,12,32,28,36,12,38,50,21,10,11,21,17,120,0.421,0.375,0.778,42.7,20.0,8.3,3.5,1.7,1.8
2,Toni Kukoč,28.0,6,139,15,37,10,18,8,10,2,17,19,16,1,3,5,8,48,0.405,0.556,0.8,23.2,8.0,3.2,2.7,0.2,0.5
3,Bison Dele,27.0,6,121,17,36,0,0,7,13,6,14,20,5,6,1,5,19,41,0.472,,0.538,20.2,6.8,3.3,0.8,1.0,0.2
4,Luc Longley,28.0,6,132,20,33,0,0,1,5,11,12,23,7,4,3,11,16,41,0.606,,0.2,22.0,6.8,3.8,1.2,0.7,0.5
5,Ron Harper,33.0,6,162,11,32,3,11,4,6,8,19,27,14,6,6,2,16,29,0.344,0.273,0.667,27.0,4.8,4.5,2.3,1.0,1.0
6,Steve Kerr,31.0,6,117,9,25,4,16,4,4,1,4,5,6,4,1,2,10,26,0.36,0.25,1.0,19.5,4.3,0.8,1.0,0.7,0.2
7,Dennis Rodman,35.0,6,163,5,20,1,6,3,8,10,36,46,9,4,1,6,21,14,0.25,0.167,0.375,27.2,2.3,7.7,1.5,0.7,0.2
8,Jud Buechler,28.0,6,52,4,8,1,4,1,2,3,4,7,2,3,0,1,5,10,0.5,0.25,0.5,8.7,1.7,1.2,0.3,0.5,0.0
9,Randy Brown,28.0,5,24,1,5,0,0,2,2,0,1,1,1,1,1,0,6,4,0.2,,1.0,4.8,0.8,0.2,0.2,0.2,0.2
10,Jason Caffey,23.0,5,18,0,0,0,0,0,0,2,0,2,1,0,0,2,8,0,,,,3.6,0.0,0.4,0.2,0.0,0.0
11,Team Totals,,6,1440,194,449,39,112,100,141,64,178,242,118,46,32,68,140,527,0.432,0.348,0.709,240.0,87.8,40.3,19.7,7.7,5.3
