Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Michael Jordan,34.0,6,250,70,164,4,13,57,70,9,15,24,14,11,4,10,13,201,0.427,0.308,0.814,41.7,33.5,4.0,2.3,1.8,0.7
1,Scottie Pippen,32.0,6,237,34,83,6,26,20,24,17,24,41,29,10,5,16,17,94,0.41,0.231,0.833,39.5,15.7,6.8,4.8,1.7,0.8
2,Toni Kukoč,29.0,6,222,38,76,7,23,8,13,10,18,28,16,7,4,10,14,91,0.5,0.304,0.615,37.0,15.2,4.7,2.7,1.2,0.7
3,Ron Harper,34.0,6,173,12,33,1,6,7,12,3,24,27,17,9,4,7,13,32,0.364,0.167,0.583,28.8,5.3,4.5,2.8,1.5,0.7
4,Luc Longley,29.0,6,131,12,27,0,0,6,8,11,18,29,9,5,5,11,25,30,0.444,,0.75,21.8,5.0,4.8,1.5,0.8,0.8
5,Steve Kerr,32.0,6,125,7,20,5,13,4,4,1,1,2,15,2,0,3,8,23,0.35,0.385,1.0,20.8,3.8,0.3,2.5,0.3,0.0
6,Scott Burrell,27.0,6,83,9,22,1,4,2,3,0,15,15,0,7,1,3,7,21,0.409,0.25,0.667,13.8,3.5,2.5,0.0,1.2,0.2
7,Dennis Rodman,36.0,6,182,6,13,0,0,8,12,20,30,50,6,7,2,6,23,20,0.462,,0.667,30.3,3.3,8.3,1.0,1.2,0.3
8,Jud Buechler,29.0,6,30,3,5,2,3,0,0,1,1,2,2,1,1,1,4,8,0.6,0.667,,5.0,1.3,0.3,0.3,0.2,0.2
9,Bill Wennington,34.0,3,13,2,5,0,0,0,0,0,3,3,1,0,1,2,1,4,0.4,,,4.3,1.3,1.0,0.3,0.0,0.3
10,Randy Brown,29.0,2,8,1,3,0,0,0,0,0,2,2,0,1,0,2,0,2,0.333,,,4.0,1.0,1.0,0.0,0.5,0.0
11,Dickey Simpkins,25.0,2,12,1,2,0,0,0,2,1,2,3,1,0,1,1,1,2,0.5,,0.0,6.0,1.0,1.5,0.5,0.0,0.5
12,Team Totals,,6,1466,195,453,26,88,112,148,73,153,226,110,60,28,72,126,528,0.43,0.295,0.757,244.3,88.0,37.7,18.3,10.0,4.7
