,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Tim Duncan,22.0,5,228,51,95,0,2,35,44,14,56,70,12,5,11,17,12,137,0.537,0.0,0.795,45.6,27.4,14.0,2.4,1.0,2.2
1,David Robinson,33.0,5,186,25,59,0,0,33,48,14,45,59,12,5,15,8,16,83,0.424,,0.688,37.2,16.6,11.8,2.4,1.0,3.0
2,Mario Elie,35.0,5,175,17,38,4,13,20,23,2,18,20,13,6,0,8,14,58,0.447,0.308,0.87,35.0,11.6,4.0,2.6,1.2,0.0
3,Avery Johnson,33.0,5,196,20,40,0,1,6,10,2,11,13,36,3,0,20,11,46,0.5,0.0,0.6,39.2,9.2,2.6,7.2,0.6,0.0
4,Sean Elliott,30.0,5,182,14,42,5,18,7,11,4,11,15,15,4,1,6,14,40,0.333,0.278,0.636,36.4,8.0,3.0,3.0,0.8,0.2
5,Jaren Jackson,31.0,5,96,12,37,9,24,0,0,1,6,7,5,5,0,9,13,33,0.324,0.375,,19.2,6.6,1.4,1.0,1.0,0.0
6,Antonio Daniels,23.0,4,23,4,5,2,2,0,0,0,2,2,4,1,0,2,3,10,0.8,1.0,,5.8,2.5,0.5,1.0,0.3,0.0
7,Steve Kerr,33.0,5,44,4,10,1,2,0,1,2,3,5,2,0,0,2,3,9,0.4,0.5,0.0,8.8,1.8,1.0,0.4,0.0,0.0
8,Malik Rose,24.0,5,65,2,10,0,0,2,4,3,9,12,2,3,2,5,13,6,0.2,,0.5,13.0,1.2,2.4,0.4,0.6,0.4
9,Jerome Kersey,36.0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,,,2.0,1.0,0.0,0.0,0.0,0.0
10,Gerard King,26.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,0.0,0.0,0.0,0.0,0.0
11,Team Totals,,5,1200,150,337,21,62,103,141,42,161,203,101,32,29,77,100,424,0.445,0.339,0.73,240.0,84.8,40.6,20.2,6.4,5.8
