,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Shaquille O'Neal,27.0,6,274,96,157,0,0,36,93,34,66,100,14,6,16,13,20,228,0.611,,0.387,45.7,38.0,16.7,2.3,1.0,2.7
1,Kobe Bryant,21.0,5,176,33,90,2,10,10,11,6,17,23,21,5,7,6,18,78,0.367,0.2,0.909,35.2,15.6,4.6,4.2,1.0,1.4
2,Glen Rice,32.0,6,193,22,55,12,19,13,20,1,14,15,10,5,1,9,14,69,0.4,0.632,0.65,32.2,11.5,2.5,1.7,0.8,0.2
3,Ron Harper,36.0,6,185,26,56,6,15,7,10,4,16,20,29,8,1,12,14,65,0.464,0.4,0.7,30.8,10.8,3.3,4.8,1.3,0.2
4,Robert Horry,29.0,6,182,22,43,3,15,8,11,8,23,31,17,5,6,9,28,55,0.512,0.2,0.727,30.3,9.2,5.2,2.8,0.8,1.0
5,Rick Fox,30.0,6,104,11,18,5,8,13,15,3,7,10,6,3,0,4,20,40,0.611,0.625,0.867,17.3,6.7,1.7,1.0,0.5,0.0
6,Derek Fisher,25.0,6,112,12,28,7,12,5,6,2,4,6,23,5,0,3,13,36,0.429,0.583,0.833,18.7,6.0,1.0,3.8,0.8,0.0
7,A.C. Green,36.0,6,103,12,21,0,0,6,7,9,11,20,3,1,0,2,11,30,0.571,,0.857,17.2,5.0,3.3,0.5,0.2,0.0
8,Brian Shaw,33.0,6,112,8,37,0,12,2,2,3,14,17,17,2,0,5,11,18,0.216,0.0,1.0,18.7,3.0,2.8,2.8,0.3,0.0
9,Travis Knight,25.0,4,10,2,3,0,0,1,2,2,0,2,0,0,0,1,5,5,0.667,,0.5,2.5,1.3,0.5,0.0,0.0,0.0
10,John Salley,35.0,4,13,2,3,0,0,0,0,1,2,3,0,1,0,0,4,4,0.667,,,3.3,1.0,0.8,0.0,0.3,0.0
11,Devean George,22.0,1,3,0,1,0,1,1,2,0,1,1,0,0,0,1,2,1,0.0,0.0,0.5,3.0,1.0,1.0,0.0,0.0,0.0
12,Team Totals,,6,1467,246,512,35,92,102,179,73,175,248,140,41,31,65,160,629,0.48,0.38,0.57,244.5,104.8,41.3,23.3,6.8,5.2
