,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Shaquille O'Neal,28.0,5,225,63,110,0,0,39,76,31,48,79,24,2,17,20,20,165,0.573,,0.513,45.0,33.0,15.8,4.8,0.4,3.4
1,Kobe Bryant,22.0,5,234,44,106,3,9,32,38,5,34,39,29,7,7,18,15,123,0.415,0.333,0.842,46.8,24.6,7.8,5.8,1.4,1.4
2,Derek Fisher,26.0,5,156,17,39,10,19,5,6,1,5,6,10,8,1,6,20,49,0.436,0.526,0.833,31.2,9.8,1.2,2.0,1.6,0.2
3,Rick Fox,31.0,5,165,15,34,7,15,12,13,3,20,23,19,6,2,14,14,49,0.441,0.467,0.923,33.0,9.8,4.6,3.8,1.2,0.4
4,Robert Horry,30.0,5,127,14,25,8,13,6,6,10,15,25,6,4,7,2,17,42,0.56,0.615,1.0,25.4,8.4,5.0,1.2,0.8,1.4
5,Horace Grant,35.0,5,124,10,34,0,0,6,8,12,16,28,3,2,7,2,9,26,0.294,,0.75,24.8,5.2,5.6,0.6,0.4,1.4
6,Tyronn Lue,23.0,5,74,7,12,4,6,0,0,1,3,4,7,7,1,5,7,18,0.583,0.667,,14.8,3.6,0.8,1.4,1.4,0.2
7,Brian Shaw,34.0,5,93,6,20,3,10,3,5,3,13,16,14,4,0,7,12,18,0.3,0.3,0.6,18.6,3.6,3.2,2.8,0.8,0.0
8,Ron Harper,37.0,3,25,5,8,1,3,2,3,0,5,5,3,1,1,0,2,13,0.625,0.333,0.667,8.3,4.3,1.7,1.0,0.3,0.3
9,Mark Madsen,25.0,2,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,,,1.0,0.0,0.5,0.0,0.0,0.5
10,Team Totals,,5,1225,181,389,36,75,105,155,67,159,226,115,41,44,74,116,503,0.465,0.48,0.677,245.0,100.6,45.2,23.0,8.2,8.8
