Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Richard Hamilton,25.0,5,224,37,92,4,10,29,34,12,14,26,20,4,0,23,9,107,0.402,0.4,0.853,44.8,21.4,5.2,4.0,0.8,0.0
1,Chauncey Billups,27.0,5,194,29,57,8,17,39,42,3,13,16,26,6,0,13,8,105,0.509,0.471,0.929,38.8,21.0,3.2,5.2,1.2,0.0
2,Rasheed Wallace,29.0,5,153,24,53,3,12,14,18,7,32,39,7,2,8,4,19,65,0.453,0.25,0.778,30.6,13.0,7.8,1.4,0.4,1.6
3,Ben Wallace,29.0,5,205,22,46,0,2,10,34,19,49,68,7,9,5,6,15,54,0.478,0.0,0.294,41.0,10.8,13.6,1.4,1.8,1.0
4,Tayshaun Prince,23.0,5,198,21,54,3,16,5,11,15,19,34,10,9,2,2,9,50,0.389,0.188,0.455,39.6,10.0,6.8,2.0,1.8,0.4
5,Corliss Williamson,30.0,5,53,6,15,0,0,9,10,4,8,12,1,0,0,4,7,21,0.4,,0.9,10.6,4.2,2.4,0.2,0.0,0.0
6,Lindsey Hunter,33.0,5,64,5,17,2,8,6,6,1,6,7,4,3,2,1,11,18,0.294,0.25,1.0,12.8,3.6,1.4,0.8,0.6,0.4
7,Elden Campbell,35.0,5,68,6,16,0,0,5,10,6,7,13,8,5,3,3,13,17,0.375,,0.5,13.6,3.4,2.6,1.6,1.0,0.6
8,Mehmet Okur,24.0,4,38,4,9,1,1,2,4,1,5,6,2,0,0,4,7,11,0.444,1.0,0.5,9.5,2.8,1.5,0.5,0.0,0.0
9,Mike James,28.0,5,17,2,4,0,0,0,0,2,2,4,4,0,0,1,2,4,0.5,,,3.4,0.8,0.8,0.8,0.0,0.0
10,Darvin Ham,30.0,4,7,1,1,0,0,0,0,1,0,1,0,0,0,1,3,2,1.0,,,1.8,0.5,0.3,0.0,0.0,0.0
11,Darko Miličić,18.0,3,4,0,2,0,0,0,2,1,1,2,0,1,0,1,0,0,0.0,,0.0,1.3,0.0,0.7,0.0,0.3,0.0
12,Team Totals,,5,1225,157,366,21,66,119,171,72,156,228,89,39,20,63,103,454,0.429,0.318,0.696,245.0,90.8,45.6,17.8,7.8,4.0
