Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Tim Duncan,28.0,7,285,54,129,0,0,36,54,33,66,99,15,3,15,17,16,144,0.419,,0.667,40.7,20.6,14.1,2.1,0.4,2.1
1,Manu Ginóbili,27.0,7,252,42,85,12,31,35,41,8,33,41,28,9,1,23,23,131,0.494,0.387,0.854,36.0,18.7,5.9,4.0,1.3,0.1
2,Tony Parker,22.0,7,265,44,96,2,14,7,16,2,15,17,24,2,1,22,24,97,0.458,0.143,0.438,37.9,13.9,2.4,3.4,0.3,0.1
3,Robert Horry,34.0,7,204,24,54,15,31,11,15,13,21,34,15,7,5,8,15,74,0.444,0.484,0.733,29.1,10.6,4.9,2.1,1.0,0.7
4,Bruce Bowen,33.0,7,271,19,50,13,29,4,6,1,18,19,14,4,5,11,26,55,0.38,0.448,0.667,38.7,7.9,2.7,2.0,0.6,0.7
5,Nazr Mohammed,27.0,7,158,13,30,0,0,8,11,20,22,42,0,2,6,5,15,34,0.433,,0.727,22.6,4.9,6.0,0.0,0.3,0.9
6,Brent Barry,33.0,7,142,11,27,6,16,4,5,3,12,15,11,4,2,8,15,32,0.407,0.375,0.8,20.3,4.6,2.1,1.6,0.6,0.3
7,Beno Udrih,22.0,5,46,4,11,2,4,2,2,2,3,5,4,1,0,8,3,12,0.364,0.5,1.0,9.2,2.4,1.0,0.8,0.2,0.0
8,Devin Brown,26.0,6,35,3,11,1,2,4,7,1,5,6,3,0,0,1,2,11,0.273,0.5,0.571,5.8,1.8,1.0,0.5,0.0,0.0
9,Rasho Nesterović,28.0,4,25,1,2,0,0,0,2,3,5,8,1,0,1,1,2,2,0.5,,0.0,6.3,0.5,2.0,0.3,0.0,0.3
10,Glenn Robinson,32.0,3,14,1,5,0,1,0,0,0,3,3,0,0,3,1,0,2,0.2,0.0,,4.7,0.7,1.0,0.0,0.0,1.0
11,Tony Massenburg,37.0,3,9,0,3,0,0,0,0,0,3,3,0,0,0,0,1,0,0.0,,,3.0,0.0,1.0,0.0,0.0,0.0
12,Team Totals,,7,1706,216,503,51,128,111,159,86,206,292,115,32,39,105,142,594,0.429,0.398,0.698,243.7,84.9,41.7,16.4,4.6,5.6
