Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Tony Parker,24.0,4,151,42,74,4,7,10,19,3,17,20,13,3,0,12,5,98,0.568,0.571,0.526,37.8,24.5,5.0,3.3,0.8,0.0
1,Tim Duncan,30.0,4,149,29,65,0,0,15,24,16,30,46,15,5,9,11,13,73,0.446,,0.625,37.3,18.3,11.5,3.8,1.3,2.3
2,Manu Ginóbili,29.0,4,117,18,49,10,23,25,30,1,22,23,10,5,0,9,15,71,0.367,0.435,0.833,29.3,17.8,5.8,2.5,1.3,0.0
3,Bruce Bowen,35.0,4,167,8,27,7,18,1,4,3,19,22,5,2,1,3,7,24,0.296,0.389,0.25,41.8,6.0,5.5,1.3,0.5,0.3
4,Fabricio Oberto,31.0,4,83,8,17,0,0,1,3,7,10,17,2,1,0,4,11,17,0.471,,0.333,20.8,4.3,4.3,0.5,0.3,0.0
5,Francisco Elson,30.0,4,46,6,6,0,0,4,5,6,4,10,0,1,0,3,5,16,1.0,,0.8,11.5,4.0,2.5,0.0,0.3,0.0
6,Michael Finley,33.0,4,74,6,23,1,12,2,3,1,7,8,3,5,0,2,4,15,0.261,0.083,0.667,18.5,3.8,2.0,0.8,1.3,0.0
7,Brent Barry,35.0,4,42,4,11,4,10,0,0,1,5,6,2,1,0,3,3,12,0.364,0.4,,10.5,3.0,1.5,0.5,0.3,0.0
8,Robert Horry,36.0,4,88,3,9,3,8,3,4,4,14,18,13,1,5,5,7,12,0.333,0.375,0.75,22.0,3.0,4.5,3.3,0.3,1.3
9,Jacque Vaughn,31.0,4,41,4,7,0,0,0,0,1,4,5,4,0,0,0,2,8,0.571,,,10.3,2.0,1.3,1.0,0.0,0.0
10,Beno Udrih,24.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.5,0.0,0.0,0.0,0.0,0.0
11,Team Totals,,4,959,128,288,29,78,61,92,43,132,175,67,24,15,52,72,346,0.444,0.372,0.663,239.8,86.5,43.8,16.8,6.0,3.8
