Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Kobe Bryant,30.0,5,219,58,135,9,25,37,44,3,25,28,37,7,7,16,13,162,0.43,0.36,0.841,43.8,32.4,5.6,7.4,1.4,1.4
1,Pau Gasol,28.0,5,212,36,60,0,0,21,27,10,36,46,11,4,9,5,15,93,0.6,,0.778,42.4,18.6,9.2,2.2,0.8,1.8
2,Lamar Odom,29.0,5,169,26,48,4,8,11,16,10,29,39,4,5,5,9,21,67,0.542,0.5,0.688,33.8,13.4,7.8,0.8,1.0,1.0
3,Trevor Ariza,23.0,5,188,20,56,10,24,5,10,9,21,30,8,9,1,5,16,55,0.357,0.417,0.5,37.6,11.0,6.0,1.6,1.8,0.2
4,Derek Fisher,34.0,5,179,21,42,7,16,6,6,3,12,15,9,6,0,3,16,55,0.5,0.438,1.0,35.8,11.0,3.0,1.8,1.2,0.0
5,Andrew Bynum,21.0,5,95,12,33,0,0,6,9,10,11,21,3,2,3,3,21,30,0.364,,0.667,19.0,6.0,4.2,0.6,0.4,0.6
6,Luke Walton,28.0,5,76,8,10,0,1,3,6,3,7,10,5,1,0,2,9,19,0.8,0.0,0.5,15.2,3.8,2.0,1.0,0.2,0.0
7,Jordan Farmar,22.0,5,57,7,19,1,8,2,2,2,4,6,2,2,0,3,4,17,0.368,0.125,1.0,11.4,3.4,1.2,0.4,0.4,0.0
8,Josh Powell,26.0,2,11,2,4,1,1,0,0,2,2,4,1,0,0,2,2,5,0.5,1.0,,5.5,2.5,2.0,0.5,0.0,0.0
9,Shannon Brown,23.0,3,16,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,,,5.3,0.0,0.3,0.0,0.0,0.0
10,D.J. Mbenga,28.0,3,6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0.0,,,2.0,0.0,0.3,0.0,0.0,0.3
11,Sasha Vujačić,24.0,5,22,0,6,0,3,0,0,0,2,2,2,0,0,1,3,0,0.0,0.0,,4.4,0.0,0.4,0.4,0.0,0.0
12,Team Totals,,5,1250,190,416,32,86,91,120,53,150,203,82,36,26,50,121,503,0.457,0.372,0.758,250.0,100.6,40.6,16.4,7.2,5.2
