Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Kobe Bryant,31.0,7,288,66,163,15,47,53,60,12,44,56,27,15,5,27,27,200,0.405,0.319,0.883,41.1,28.6,8.0,3.9,2.1,0.7
1,Pau Gasol,29.0,7,293,43,90,0,2,44,61,35,46,81,26,5,18,13,21,130,0.478,0.0,0.721,41.9,18.6,11.6,3.7,0.7,2.6
2,Metta World Peace,30.0,7,251,26,72,11,32,11,20,12,20,32,9,10,4,11,24,74,0.361,0.344,0.55,35.9,10.6,4.6,1.3,1.4,0.6
3,Derek Fisher,35.0,7,214,21,50,2,10,16,17,3,18,21,14,6,0,9,25,60,0.42,0.2,0.941,30.6,8.6,3.0,2.0,0.9,0.0
4,Lamar Odom,30.0,7,192,23,47,1,10,6,11,10,36,46,9,4,4,10,23,53,0.489,0.1,0.545,27.4,7.6,6.6,1.3,0.6,0.6
5,Andrew Bynum,22.0,7,175,19,42,0,0,14,20,16,20,36,0,1,9,6,17,52,0.452,,0.7,25.0,7.4,5.1,0.0,0.1,1.3
6,Shannon Brown,24.0,7,84,9,20,0,3,3,3,0,6,6,3,0,1,0,5,21,0.45,0.0,1.0,12.0,3.0,0.9,0.4,0.0,0.1
7,Jordan Farmar,23.0,7,88,9,28,2,10,1,2,1,7,8,6,8,0,8,5,21,0.321,0.2,0.5,12.6,3.0,1.1,0.9,1.1,0.0
8,Sasha Vujačić,25.0,7,52,6,16,4,10,5,6,3,4,7,5,2,0,1,5,21,0.375,0.4,0.833,7.4,3.0,1.0,0.7,0.3,0.0
9,Luke Walton,29.0,4,31,1,3,0,0,0,0,0,2,2,3,0,2,2,3,2,0.333,,,7.8,0.5,0.5,0.8,0.0,0.5
10,D.J. Mbenga,29.0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,,,3.0,0.0,1.0,0.0,0.0,0.0
11,Josh Powell,27.0,2,8,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,,4.0,0.0,0.5,0.0,0.0,0.0
12,Team Totals,,7,1679,223,534,35,125,153,200,92,205,297,102,51,43,87,156,634,0.418,0.28,0.765,239.9,90.6,42.4,14.6,7.3,6.1
