Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Dirk Nowitzki,32.0,6,242,52,125,7,19,45,46,2,56,58,12,4,4,17,15,156,0.416,0.368,0.978,40.3,26.0,9.7,2.0,0.7,0.7
1,Jason Terry,33.0,6,195,38,77,11,28,21,28,3,9,12,19,8,0,8,10,108,0.494,0.393,0.75,32.5,18.0,2.0,3.2,1.3,0.0
2,Shawn Marion,32.0,6,215,34,71,0,1,14,17,14,24,38,14,5,4,14,13,82,0.479,0.0,0.824,35.8,13.7,6.3,2.3,0.8,0.7
3,Tyson Chandler,28.0,6,224,19,32,0,0,20,32,24,29,53,4,7,7,3,24,58,0.594,,0.625,37.3,9.7,8.8,0.7,1.2,1.2
4,J.J. Barea,26.0,6,128,21,55,6,18,5,7,4,9,13,19,3,0,9,10,53,0.382,0.333,0.714,21.3,8.8,2.2,3.2,0.5,0.0
5,Jason Kidd,37.0,6,225,14,36,12,28,6,8,2,25,27,38,7,5,21,6,46,0.389,0.429,0.75,37.5,7.7,4.5,6.3,1.2,0.8
6,DeShawn Stevenson,29.0,6,103,13,24,13,23,3,4,1,8,9,2,4,1,1,9,42,0.542,0.565,0.75,17.2,7.0,1.5,0.3,0.7,0.2
7,Ian Mahinmi,24.0,3,27,3,5,0,0,3,5,3,2,5,0,1,0,0,13,9,0.6,,0.6,9.0,3.0,1.7,0.0,0.3,0.0
8,Brian Cardinal,33.0,5,30,2,3,2,3,1,2,0,1,1,1,1,0,3,8,7,0.667,0.667,0.5,6.0,1.4,0.2,0.2,0.2,0.0
9,Brendan Haywood,31.0,3,25,1,3,0,0,3,6,2,5,7,0,1,3,1,6,5,0.333,,0.5,8.3,1.7,2.3,0.0,0.3,1.0
10,Peja Stojaković,33.0,4,26,1,5,0,4,0,0,0,3,3,0,2,0,2,4,2,0.2,0.0,,6.5,0.5,0.8,0.0,0.5,0.0
11,Team Totals,,6,1440,198,436,51,124,121,155,55,171,226,109,43,24,79,118,568,0.454,0.411,0.781,240.0,94.7,37.7,18.2,7.2,4.0
