,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,LeBron James,27.0,5,220,51,108,3,16,38,46,15,36,51,37,8,2,19,10,143,0.472,0.188,0.826,44.0,28.6,10.2,7.4,1.6,0.4
1,Dwyane Wade,30.0,5,203,40,92,2,5,31,40,6,24,30,26,7,6,14,15,113,0.435,0.4,0.775,40.6,22.6,6.0,5.2,1.4,1.2
2,Chris Bosh,27.0,5,183,28,62,2,5,15,17,15,32,47,1,3,6,5,9,73,0.452,0.4,0.882,36.6,14.6,9.4,0.2,0.6,1.2
3,Shane Battier,33.0,5,187,19,31,15,26,5,7,2,15,17,2,4,0,1,17,58,0.613,0.577,0.714,37.4,11.6,3.4,0.4,0.8,0.0
4,Mario Chalmers,25.0,5,183,19,43,8,23,6,7,1,12,13,20,9,2,10,14,52,0.442,0.348,0.857,36.6,10.4,2.6,4.0,1.8,0.4
5,Mike Miller,31.0,5,44,9,16,7,11,6,6,1,8,9,2,1,1,0,9,31,0.563,0.636,1.0,8.8,6.2,1.8,0.4,0.2,0.2
6,Norris Cole,23.0,4,44,5,15,3,7,0,0,0,4,4,0,0,0,1,8,13,0.333,0.429,,11.0,3.3,1.0,0.0,0.0,0.0
7,Udonis Haslem,31.0,5,81,4,10,0,0,5,6,8,14,22,2,0,2,5,11,13,0.4,,0.833,16.2,2.6,4.4,0.4,0.0,0.4
8,James Jones,31.0,4,43,3,6,2,5,3,3,1,5,6,0,1,0,2,5,11,0.5,0.4,1.0,10.8,2.8,1.5,0.0,0.3,0.0
9,Terrel Harris,24.0,1,3,0,0,0,0,3,4,0,1,1,0,0,0,0,0,3,,,0.75,3.0,3.0,1.0,0.0,0.0,0.0
10,Joel Anthony,29.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
11,Juwan Howard,38.0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0
12,Ronny Turiaf,29.0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,3.0,0.0,1.0,0.0,0.0,0.0
13,Team Totals,,5,1199,178,384,42,98,112,136,49,152,201,90,33,19,57,98,510,0.464,0.429,0.824,239.8,102.0,40.2,18.0,6.6,3.8
