,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,LeBron James,28.0,7,301,67,150,12,34,31,39,17,59,76,49,16,6,18,10,177,0.447,0.353,0.795,43.0,25.3,10.9,7.0,2.3,0.9
1,Dwyane Wade,31.0,7,255,60,126,0,0,17,22,9,19,28,32,13,9,16,10,137,0.476,,0.773,36.4,19.6,4.0,4.6,1.9,1.3
2,Chris Bosh,28.0,7,240,36,78,0,6,11,15,20,42,62,15,13,11,7,19,83,0.462,0.0,0.733,34.3,11.9,8.9,2.1,1.9,1.6
3,Ray Allen,37.0,7,193,25,46,12,22,12,13,2,14,16,11,1,0,9,18,74,0.543,0.545,0.923,27.6,10.6,2.3,1.6,0.1,0.0
4,Mario Chalmers,26.0,7,221,26,67,13,32,9,13,1,18,19,15,5,0,18,18,74,0.388,0.406,0.692,31.6,10.6,2.7,2.1,0.7,0.0
5,Shane Battier,34.0,7,87,12,27,12,27,3,3,2,9,11,6,1,2,0,10,39,0.444,0.444,1.0,12.4,5.6,1.6,0.9,0.1,0.3
6,Mike Miller,32.0,7,152,13,22,11,18,0,0,2,17,19,6,4,2,2,17,37,0.591,0.611,,21.7,5.3,2.7,0.9,0.6,0.3
7,Chris Andersen,34.0,5,71,8,11,0,0,6,10,6,9,15,0,4,3,4,16,22,0.727,,0.6,14.2,4.4,3.0,0.0,0.8,0.6
8,Norris Cole,24.0,5,82,6,22,2,6,1,2,1,4,5,12,4,1,5,9,15,0.273,0.333,0.5,16.4,3.0,1.0,2.4,0.8,0.2
9,Udonis Haslem,32.0,6,64,4,9,0,0,1,1,4,13,17,0,0,1,1,15,9,0.444,,1.0,10.7,1.5,2.8,0.0,0.0,0.2
10,James Jones,32.0,3,12,2,5,2,3,0,0,0,1,1,0,0,1,1,2,6,0.4,0.667,,4.0,2.0,0.3,0.0,0.0,0.3
11,Rashard Lewis,33.0,3,12,2,6,0,0,0,0,1,1,2,2,0,0,2,0,4,0.333,,,4.0,1.3,0.7,0.7,0.0,0.0
12,Joel Anthony,30.0,4,15,1,2,0,0,0,0,4,3,7,0,0,0,0,1,2,0.5,,,3.8,0.5,1.8,0.0,0.0,0.0
13,Team Totals,,7,1705,262,571,64,148,91,118,69,209,278,148,61,36,83,145,679,0.459,0.432,0.771,243.6,97.0,39.7,21.1,8.7,5.1
