Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Tony Parker,31.0,5,176,35,73,5,12,15,20,0,2,2,23,4,0,10,9,90,0.479,0.417,0.75,35.2,18.0,0.4,4.6,0.8,0.0
1,Kawhi Leonard,22.0,5,167,30,49,11,19,18,23,8,24,32,10,8,6,9,22,89,0.612,0.579,0.783,33.4,17.8,6.4,2.0,1.6,1.2
2,Tim Duncan,37.0,5,165,29,51,0,1,19,28,13,37,50,10,2,4,12,12,77,0.569,0.0,0.679,33.0,15.4,10.0,2.0,0.4,0.8
3,Manu Ginóbili,36.0,5,143,24,48,10,24,14,16,0,15,15,22,5,1,12,16,72,0.5,0.417,0.875,28.6,14.4,3.0,4.4,1.0,0.2
4,Patty Mills,25.0,5,76,19,35,13,23,0,0,1,6,7,8,2,0,1,5,51,0.543,0.565,,15.2,10.2,1.4,1.6,0.4,0.0
5,Danny Green,26.0,5,106,17,32,9,20,3,4,2,8,10,6,10,2,6,14,46,0.531,0.45,0.75,21.2,9.2,2.0,1.2,2.0,0.4
6,Boris Diaw,31.0,5,176,12,33,3,9,4,8,9,34,43,29,4,1,8,5,31,0.364,0.333,0.5,35.2,6.2,8.6,5.8,0.8,0.2
7,Tiago Splitter,29.0,5,84,12,17,0,0,7,9,3,14,17,10,3,3,6,9,31,0.706,,0.778,16.8,6.2,3.4,2.0,0.6,0.6
8,Marco Belinelli,27.0,5,59,8,17,4,9,3,4,0,6,6,3,1,0,3,3,23,0.471,0.444,0.75,11.8,4.6,1.2,0.6,0.2,0.0
9,Aron Baynes,27.0,3,6,2,2,0,0,2,2,2,0,2,0,0,0,0,0,6,1.0,,1.0,2.0,2.0,0.7,0.0,0.0,0.0
10,Jeff Ayres,26.0,3,7,1,1,0,0,3,4,1,1,2,1,0,0,0,1,5,1.0,,0.75,2.3,1.7,0.7,0.3,0.0,0.0
11,Matt Bonner,33.0,4,27,1,1,0,0,3,4,0,3,3,5,1,0,0,2,5,1.0,,0.75,6.8,1.3,0.8,1.3,0.3,0.0
12,Cory Joseph,22.0,3,8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0.333,0.0,,2.7,0.7,0.0,0.0,0.0,0.0
13,Team Totals,,5,1200,191,362,55,118,91,122,39,150,189,127,40,17,67,99,528,0.528,0.466,0.746,240.0,105.6,37.8,25.4,8.0,3.4
