,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Kawhi Leonard,27.0,6,243,49,113,15,42,58,64,16,43,59,25,12,7,18,15,171,0.434,0.357,0.906,40.5,28.5,9.8,4.2,2.0,1.2
1,Pascal Siakam,24.0,6,241,49,97,5,21,16,21,12,33,45,22,3,4,9,11,119,0.505,0.238,0.762,40.2,19.8,7.5,3.7,0.5,0.7
2,Kyle Lowry,32.0,6,229,34,80,14,38,15,19,3,21,24,43,10,3,15,27,97,0.425,0.368,0.789,38.2,16.2,4.0,7.2,1.7,0.5
3,Fred VanVleet,24.0,6,195,28,63,16,40,12,14,4,12,16,13,7,0,6,13,84,0.444,0.4,0.857,32.5,14.0,2.7,2.2,1.2,0.0
4,Marc Gasol,34.0,6,173,21,47,6,19,24,26,5,39,44,16,3,2,7,25,72,0.447,0.316,0.923,28.8,12.0,7.3,2.7,0.5,0.3
5,Serge Ibaka,29.0,6,116,28,50,2,6,10,13,11,20,31,6,5,10,8,23,68,0.56,0.333,0.769,19.3,11.3,5.2,1.0,0.8,1.7
6,Danny Green,31.0,6,163,16,41,12,33,0,0,7,14,21,7,7,3,8,15,44,0.39,0.364,,27.2,7.3,3.5,1.2,1.2,0.5
7,Norman Powell,25.0,6,66,4,13,1,6,2,2,0,6,6,4,2,0,2,4,11,0.308,0.167,1.0,11.0,1.8,1.0,0.7,0.3,0.0
8,Patrick McCaw,23.0,4,12,1,2,1,1,0,0,0,0,0,2,0,0,0,0,3,0.5,1.0,,3.0,0.8,0.0,0.5,0.0,0.0
9,Jeremy Lin,30.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
10,Jodie Meeks,31.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
11,Malcolm Miller,25.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,6,1441,230,506,72,206,137,159,58,188,246,138,49,29,73,133,669,0.455,0.35,0.862,240.2,111.5,41.0,23.0,8.2,4.8
