,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Giannis Antetokounmpo,26.0,6,239,76,123,3,15,56,85,24,55,79,30,7,11,14,18,211,0.618,0.2,0.659,39.8,35.2,13.2,5.0,1.2,1.8
1,Khris Middleton,29.0,6,255,56,125,16,45,16,18,2,36,38,32,9,0,19,14,144,0.448,0.356,0.889,42.5,24.0,6.3,5.3,1.5,0.0
2,Jrue Holiday,30.0,6,250,39,108,11,35,11,12,7,30,37,56,13,4,13,11,100,0.361,0.314,0.917,41.7,16.7,6.2,9.3,2.2,0.7
3,Brook Lopez,32.0,6,147,28,58,5,21,8,10,11,21,32,1,4,4,6,13,69,0.483,0.238,0.8,24.5,11.5,5.3,0.2,0.7,0.7
4,Pat Connaughton,28.0,6,180,19,40,15,34,2,4,10,25,35,7,1,0,5,14,55,0.475,0.441,0.5,30.0,9.2,5.8,1.2,0.2,0.0
5,Bobby Portis,25.0,6,100,17,40,7,16,5,5,10,14,24,1,4,2,1,9,46,0.425,0.438,1.0,16.7,7.7,4.0,0.2,0.7,0.3
6,P.J. Tucker,35.0,6,188,10,20,4,8,0,0,12,11,23,7,6,0,3,21,24,0.5,0.5,,31.3,4.0,3.8,1.2,1.0,0.0
7,Bryn Forbes,27.0,3,22,3,10,3,9,0,0,0,1,1,0,1,0,1,2,9,0.3,0.333,,7.3,3.0,0.3,0.0,0.3,0.0
8,Jeff Teague,32.0,6,56,2,10,1,3,4,6,2,3,5,4,3,0,3,2,9,0.2,0.333,0.667,9.3,1.5,0.8,0.7,0.5,0.0
9,Jordan Nwora,22.0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,1.0,1.0,,1.0,3.0,1.0,0.0,0.0,0.0
10,Thanasis Antetokounmpo,28.0,1,2,0,2,0,0,0,0,1,2,3,0,0,0,0,1,0,0.0,,,2.0,0.0,3.0,0.0,0.0,0.0
11,Elijah Bryant,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
12,Sam Merrill,24.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
13,Team Totals,,6,1441,251,537,66,187,102,140,79,199,278,138,48,21,65,105,670,0.467,0.353,0.729,240.2,111.7,46.3,23.0,8.0,3.5
