,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Stephen Curry,33.0,6,225,66,137,31,71,24,28,2,34,36,30,12,1,15,18,187,0.482,0.437,0.857,37.5,31.2,6.0,5.0,2.0,0.2
1,Andrew Wiggins,26.0,6,235,45,101,11,37,9,13,12,41,53,13,9,9,11,13,110,0.446,0.297,0.692,39.2,18.3,8.8,2.2,1.5,1.5
2,Klay Thompson,31.0,6,230,36,101,20,57,10,10,2,16,18,12,8,3,7,13,102,0.356,0.351,1.0,38.3,17.0,3.0,2.0,1.3,0.5
3,Jordan Poole,22.0,6,125,27,62,15,39,10,11,1,10,11,11,3,1,12,12,79,0.435,0.385,0.909,20.8,13.2,1.8,1.8,0.5,0.2
4,Draymond Green,31.0,6,217,14,42,2,16,7,12,14,34,48,37,10,4,15,25,37,0.333,0.125,0.583,36.2,6.2,8.0,6.2,1.7,0.7
5,Gary Payton II,29.0,5,93,13,22,2,7,7,10,4,12,16,7,8,2,2,13,35,0.591,0.286,0.7,18.6,7.0,3.2,1.4,1.6,0.4
6,Otto Porter Jr.,28.0,6,102,10,17,9,16,2,2,2,10,12,6,6,1,2,5,31,0.588,0.563,1.0,17.0,5.2,2.0,1.0,1.0,0.2
7,Kevon Looney,25.0,6,130,14,22,0,0,2,2,21,24,45,16,4,5,10,17,30,0.636,,1.0,21.7,5.0,7.5,2.7,0.7,0.8
8,Nemanja Bjelica,33.0,5,29,4,8,1,2,0,0,1,7,8,1,2,0,2,4,9,0.5,0.5,,5.8,1.8,1.6,0.2,0.4,0.0
9,Andre Iguodala,38.0,4,19,3,4,1,1,0,0,0,0,0,5,0,0,1,3,7,0.75,1.0,,4.8,1.8,0.0,1.3,0.0,0.0
10,Moses Moody,19.0,4,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1.0,,,2.8,0.5,0.0,0.0,0.0,0.3
11,Jonathan Kuminga,19.0,4,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,,,2.0,0.0,0.3,0.0,0.0,0.0
12,Damion Lee,29.0,4,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
13,Juan Toscano-Anderson,28.0,4,8,0,1,0,1,0,0,0,2,2,3,0,0,2,2,0,0.0,0.0,,2.0,0.0,0.5,0.8,0.0,0.0
14,Team Totals,,6,1440,233,523,92,251,71,88,59,191,250,141,62,27,79,125,629,0.446,0.367,0.807,240.0,104.8,41.7,23.5,10.3,4.5
