Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Nikola Jokic,27.0,5,206,56,96,8,19,31,37,9,61,70,36,4,7,17,17,151,0.583,0.421,0.838,41.2,30.2,14.0,7.2,0.8,1.4
1,Jamal Murray,25.0,5,211,41,91,12,31,13,14,5,26,31,50,5,0,17,9,107,0.451,0.387,0.929,42.2,21.4,6.2,10.0,1.0,0.0
2,Aaron Gordon,27.0,5,178,29,48,5,9,7,15,9,28,37,15,4,3,3,14,70,0.604,0.556,0.467,35.6,14.0,7.4,3.0,0.8,0.6
3,Bruce Brown,26.0,5,134,21,46,7,19,8,11,5,17,22,5,5,4,8,7,57,0.457,0.368,0.727,26.8,11.4,4.4,1.0,1.0,0.8
4,Michael Porter Jr.,24.0,5,147,19,58,4,28,6,8,7,35,42,4,0,2,2,6,48,0.328,0.143,0.75,29.4,9.6,8.4,0.8,0.0,0.4
5,Kentavious Caldwell-Pope,29.0,5,171,11,31,5,19,10,13,4,13,17,7,7,6,4,13,37,0.355,0.263,0.769,34.2,7.4,3.4,1.4,1.4,1.2
6,Christian Braun,21.0,5,82,12,17,0,1,5,9,4,6,10,6,5,2,3,6,29,0.706,0.0,0.556,16.4,5.8,2.0,1.2,1.0,0.4
7,Jeff Green,36.0,5,65,8,9,2,2,6,6,1,1,2,3,1,0,2,6,24,0.889,1.0,1.0,13.0,4.8,0.4,0.6,0.2,0.0
8,Thomas Bryant,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
9,Vlatko Čančar,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
10,Reggie Jackson,32.0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0
11,DeAndre Jordan,34.0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,1.0
12,Zeke Nnaji,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
13,Peyton Watson,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0
14,Team Totals,,5,1198,197,397,43,129,86,113,44,188,232,127,31,25,56,78,523,0.496,0.333,0.761,239.6,104.6,46.4,25.4,6.2,5.0
