Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Jalen Brunson,29.0,5,196,56,133,14,36,37,43,6,15,21,23,10,0,19,11,163,0.421,0.389,0.86,39.2,32.6,4.2,4.6,2.0,0.0
1,OG Anunoby,28.0,5,180,32,61,16,32,26,30,1,23,24,5,7,7,3,13,106,0.525,0.5,0.867,36.0,21.2,4.8,1.0,1.4,1.4
2,Karl-Anthony Towns,30.0,5,155,24,49,4,12,13,13,12,41,53,12,7,5,13,23,65,0.49,0.333,1.0,31.0,13.0,10.6,2.4,1.4,1.0
3,Mikal Bridges,29.0,5,165,20,43,8,19,4,6,2,16,18,17,3,2,3,10,52,0.465,0.421,0.667,33.0,10.4,3.6,3.4,0.6,0.4
4,Josh Hart,30.0,5,152,13,34,8,20,4,7,8,41,49,23,7,2,7,17,38,0.382,0.4,0.571,30.4,7.6,9.8,4.6,1.4,0.4
5,Landry Shamet,28.0,5,121,13,39,8,26,0,0,2,8,10,5,0,2,0,12,34,0.333,0.308,,24.2,6.8,2.0,1.0,0.0,0.4
6,Jose Alvarado,27.0,5,60,8,24,3,12,2,3,2,11,13,7,1,0,2,11,21,0.333,0.25,0.667,12.0,4.2,2.6,1.4,0.2,0.0
7,Mitchell Robinson,27.0,5,67,7,14,0,0,4,15,15,13,28,3,1,3,2,6,18,0.5,,0.267,13.4,3.6,5.6,0.6,0.2,0.6
8,Jordan Clarkson,33.0,4,30,6,16,2,6,0,0,2,4,6,1,1,0,4,4,14,0.375,0.333,,7.5,3.5,1.5,0.3,0.3,0.0
9,Miles McBride,25.0,5,66,4,22,3,17,0,0,2,1,3,7,0,1,3,3,11,0.182,0.176,,13.2,2.2,0.6,1.4,0.0,0.2
10,Ariel Hukporti,23.0,2,5,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,,,,2.5,0.0,0.5,0.5,0.0,1.0
11,Jeremy Sochan,22.0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,5,1200,183,436,66,180,90,117,53,173,226,104,37,24,56,111,522,0.42,0.367,0.769,240.0,104.4,45.2,20.8,7.4,4.8
