year,abbrev,team,round_order,result,round,wins,losses,opponent,series_text
2026,NYK,New York Knicks,1,Won,NBA Eastern Conference First Round,4,2,Atlanta Hawks,Won NBA Eastern Conference First Round (4-2) versus Atlanta Hawks
2026,NYK,New York Knicks,2,Won,NBA Eastern Conference Semifinals,4,0,Philadelphia 76ers,Won NBA Eastern Conference Semifinals (4-0) versus Philadelphia 76ers
2026,NYK,New York Knicks,3,Won,NBA Eastern Conference Finals,4,0,Cleveland Cavaliers,Won NBA Eastern Conference Finals (4-0) versus Cleveland Cavaliers
2026,NYK,New York Knicks,4,Won,NBA Finals,4,1,San Antonio Spurs,Won NBA Finals (4-1) versus San Antonio Spurs
2025,OKC,Oklahoma City Thunder,1,Won,NBA Western Conference First Round,4,0,Memphis Grizzlies,Won NBA Western Conference First Round (4-0) versus Memphis Grizzlies
2025,OKC,Oklahoma City Thunder,2,Won,NBA Western Conference Semifinals,4,3,Denver Nuggets,Won NBA Western Conference Semifinals (4-3) versus Denver Nuggets
2025,OKC,Oklahoma City Thunder,3,Won,NBA Western Conference Finals,4,1,Minnesota Timberwolves,Won NBA Western Conference Finals (4-1) versus Minnesota Timberwolves
2025,OKC,Oklahoma City Thunder,4,Won,NBA Finals,4,3,Indiana Pacers,Won NBA Finals (4-3) versus Indiana Pacers
2024,BOS,Boston Celtics,1,Won,NBA Eastern Conference First Round,4,1,Miami Heat,Won NBA Eastern Conference First Round (4-1) versus Miami Heat
2024,BOS,Boston Celtics,2,Won,NBA Eastern Conference Semifinals,4,1,Cleveland Cavaliers,Won NBA Eastern Conference Semifinals (4-1) versus Cleveland Cavaliers
2024,BOS,Boston Celtics,3,Won,NBA Eastern Conference Finals,4,0,Indiana Pacers,Won NBA Eastern Conference Finals (4-0) versus Indiana Pacers
2024,BOS,Boston Celtics,4,Won,NBA Finals,4,1,Dallas Mavericks,Won NBA Finals (4-1) versus Dallas Mavericks
2023,DEN,Denver Nuggets,1,Won,NBA Western Conference First Round,4,1,Minnesota Timberwolves,Won NBA Western Conference First Round (4-1) versus Minnesota Timberwolves
