year,season,abbrev,team,wins,losses,finish,conference_or_division,coach,primary_coach,primary_coach_wins,primary_coach_losses,executive,pts_g,pts_g_rank,opp_pts_g,opp_pts_g_rank,srs,srs_rank,pace,pace_rank,off_rtg,off_rtg_rank,def_rtg,def_rtg_rank,net_rtg,net_rtg_rank,expected_wins,expected_losses,expected_wl_rank,championship_odds,over_under,arena,attendance,attendance_rank,finals_opponent,playoff_path,logo_url,source_html
2026,2025-26,NYK,New York Knicks,53,29,3rd,Eastern Conference,Mike Brown (53-29),Mike Brown,53,29,Leon Rose,116.5,10th of 30,110.1,5th of 30,6.04,5th of 30,96.8,27th of 30,119.8,3rd of 30,113.3,7th of 30,6.5,5th of 30,56,26,5th of 30,+900,53.5,Madison Square Garden (IV),792480.0,6th of 30,San Antonio Spurs,Won NBA Eastern Conference First Round (4-2) versus Atlanta Hawks | Won NBA Eastern Conference Semifinals (4-0) versus Philadelphia 76ers | Won NBA Eastern Conference Finals (4-0) versus Cleveland Cavaliers | Won NBA Finals (4-1) versus San Antonio Spurs,https://cdn.ssref.net/req/202606291/tlogo/bbr/NYK-2026.png,data/teams/html/NYK_2026.html
2025,2024-25,OKC,Oklahoma City Thunder,68,14,1st,Western Conference,Mark Daigneault (68-14),Mark Daigneault,68,14,Sam Presti,120.5,4th of 30,107.6,3rd of 30,12.7,1st of 30,100.0,6th of 30,120.3,3rd of 30,107.5,1st of 30,12.8,1st of 30,68,14,1st of 30,+675,57.5,Paycom Center,754832.0,14th of 30,Indiana Pacers,Won NBA Western Conference First Round (4-0) versus Memphis Grizzlies | Won NBA Western Conference Semifinals (4-3) versus Denver Nuggets | Won NBA Western Conference Finals (4-1) versus Minnesota Timberwolves | Won NBA Finals (4-3) versus Indiana Pacers,https://cdn.ssref.net/req/202606291/tlogo/bbr/OKC-2025.png,data/teams/html/OKC_2025.html
2024,2023-24,BOS,Boston Celtics,64,18,1st,Eastern Conference,Joe Mazzulla (64-18),Joe Mazzulla,64,18,Brad Stevens,120.6,2nd of 30,109.2,5th of 30,10.74,1st of 30,97.2,23rd of 30,123.2,1st of 30,111.6,3rd of 30,11.6,1st of 30,66,16,1st of 30,+450,54.5,TD Garden,785396.0,10th of 30,Dallas Mavericks,Won NBA Eastern Conference First Round (4-1) versus Miami Heat | Won NBA Eastern Conference Semifinals (4-1) versus Cleveland Cavaliers | Won NBA Eastern Conference Finals (4-0) versus Indiana Pacers | Won NBA Finals (4-1) versus Dallas Mavericks,https://cdn.ssref.net/req/202407241/tlogo/bbr/BOS-2024.png,data/teams/html/BOS_2024.html
2023,2022-23,DEN,Denver Nuggets,53,29,1st,Western Conference,Michael Malone (53-29),Michael Malone,53,29,Calvin Booth,115.8,12th of 30,112.5,8th of 30,3.04,6th of 30,98.1,23rd of 30,117.6,5th of 30,114.2,15th of 30,3.4,6th of 30,49,33,6th of 30,+1800,51.5,Ball Arena,788635.0,7th of 30,Miami Heat,Won NBA Western Conference First Round (4-1) versus Minnesota Timberwolves | Won NBA Western Conference Semifinals (4-2) versus Phoenix Suns | Won NBA Western Conference Finals (4-0) versus Los Angeles Lakers | Won NBA Finals (4-1) versus Miami Heat,https://cdn.ssref.net/req/202407241/tlogo/bbr/DEN-2023.png,data/teams/html/DEN_2023.html
2022,2021-22,GSW,Golden State Warriors,53,29,3rd,Western Conference,Steve Kerr (53-29),Steve Kerr,53,29,Bob Myers,111.0,15th of 30,105.5,3rd of 30,5.52,4th of 30,98.4,13th of 30,112.5,17th of 30,106.9,1st of 30,5.6,5th of 30,55,27,4th of 30,+900,48.5,Chase Center,740624.0,10th of 30,Boston Celtics,Won NBA Western Conference First Round (4-1) versus Denver Nuggets | Won NBA Western Conference Semifinals (4-2) versus Memphis Grizzlies | Won NBA Western Conference Finals (4-1) versus Dallas Mavericks | Won NBA Finals (4-2) versus Boston Celtics,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2022.png,data/teams/html/GSW_2022.html
2021,2020-21,MIL,Milwaukee Bucks,46,26,3rd,Eastern Conference,Mike Budenholzer (46-26),Mike Budenholzer,46,26,Jon Horst,120.1,1st of 30,114.2,22nd of 30,5.57,4th of 30,102.2,2nd of 30,117.2,6th of 30,111.4,10th of 30,5.7,4th of 30,48,24,5th of 30,+550,49.5,Fiserv Forum,64780.0,10th of 30,Phoenix Suns,Won NBA Eastern Conference First Round (4-0) versus Miami Heat | Won NBA Eastern Conference Semifinals (4-3) versus Brooklyn Nets | Won NBA Eastern Conference Finals (4-2) versus Atlanta Hawks | Won NBA Finals (4-2) versus Phoenix Suns,https://cdn.ssref.net/req/202407241/tlogo/bbr/MIL-2021.png,data/teams/html/MIL_2021.html
2020,2019-20,LAL,Los Angeles Lakers,52,19,1st,Western Conference,Frank Vogel (52-19),Frank Vogel,52,19,Rob Pelinka,113.4,11th of 30,107.6,4th of 30,6.28,3rd of 30,100.9,11th of 30,112.0,11th of 30,106.3,3rd of 30,5.7,5th of 30,48,23,5th of 30,+450,50.5,STAPLES Center,588907.0,14th of 30,Miami Heat,Won NBA Western Conference First Round (4-1) versus Portland Trail Blazers | Won NBA Western Conference Semifinals (4-1) versus Houston Rockets | Won NBA Western Conference Finals (4-1) versus Denver Nuggets | Won NBA Finals (4-2) versus Miami Heat,https://cdn.ssref.net/req/202407241/tlogo/bbr/LAL-2020.png,data/teams/html/LAL_2020.html
2019,2018-19,TOR,Toronto Raptors,58,24,2nd,Eastern Conference,Nick Nurse (58-24),Nick Nurse,58,24,Masai Ujiri,114.4,8th of 30,108.4,9th of 30,5.49,3rd of 30,100.2,15th of 30,113.1,5th of 30,107.1,5th of 30,6.0,3rd of 30,56,26,3rd of 30,+1850,55.5,Scotiabank Arena,812822.0,4th of 30,Golden State Warriors,Won NBA Eastern Conference First Round (4-1) versus Orlando Magic | Won NBA Eastern Conference Semifinals (4-3) versus Philadelphia 76ers | Won NBA Eastern Conference Finals (4-2) versus Milwaukee Bucks | Won NBA Finals (4-2) versus Golden State Warriors,https://cdn.ssref.net/req/202407241/tlogo/bbr/TOR-2019.png,data/teams/html/TOR_2019.html
2018,2017-18,GSW,Golden State Warriors,58,24,2nd,Western Conference,Steve Kerr (58-24),Steve Kerr,58,24,Bob Myers,113.5,1st of 30,107.5,18th of 30,5.79,3rd of 30,99.6,5th of 30,113.6,3rd of 30,107.6,11th of 30,6.0,3rd of 30,56,26,3rd of 30,-187,67.5,Oracle Arena,803436.0,7th of 30,Cleveland Cavaliers,Won NBA Western Conference First Round (4-1) versus San Antonio Spurs | Won NBA Western Conference Semifinals (4-1) versus New Orleans Pelicans | Won NBA Western Conference Finals (4-3) versus Houston Rockets | Won NBA Finals (4-0) versus Cleveland Cavaliers,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2018.png,data/teams/html/GSW_2018.html
2017,2016-17,GSW,Golden State Warriors,67,15,1st,Western Conference,Steve Kerr (67-15),Steve Kerr,67,15,Bob Myers,115.9,1st of 30,104.3,11th of 30,11.35,1st of 30,99.8,4th of 30,115.6,1st of 30,104.0,2nd of 30,11.6,1st of 30,67,15,1st of 30,-128,66.5,Oracle Arena,803436.0,8th of 30,Cleveland Cavaliers,Won NBA Western Conference First Round (4-0) versus Portland Trail Blazers | Won NBA Western Conference Semifinals (4-0) versus Utah Jazz | Won NBA Western Conference Finals (4-0) versus San Antonio Spurs | Won NBA Finals (4-1) versus Cleveland Cavaliers,https://cdn.ssref.net/req/202407241/tlogo/bbr/GSW-2017.png,data/teams/html/GSW_2017.html
